en,fr,de,es,ja,it,he
life,vie,Leben,vida,人生,vita,חַיִים
light,lumière,Licht,luz,ライト,leggero,אוֹר
like,comme,wie,como,のように,Piace,כמו
likely,probable,wahrscheinlich,probable,おそらく,probabile,סָבִיר
line,doubler,Linie,línea,ライン,linea,קַו
list,liste,Liste,lista,リスト,elenco,רשימה
listen,écouter,Hören,escuchar,聞く,Ascoltare,להקשיב
little,petit,wenig,pequeño,少し,poco,קטן
live,en direct,live,vivir,ライブ,vivere,לחיות
local,locale,lokal,local,地元,Locale,מְקוֹמִי
long,long,lang,largo,長さ,lungo,ארוך
look,regarder,sehen,mirar,見て,Aspetto,תראה
lose,perdre,verlieren,perder,失う,perdere,לאבד
loss,perte,Verlust,pérdida,損失,perdita,הֶפסֵד
lot,parcelle,viel,lote,多く,quantità,מִגרָשׁ
love,amour,Liebe,amar,愛,Amore,אהבה
low,faible,niedrig,bajo,低い,Basso,נָמוּך
machine,machine,Maschine,máquina,機械,macchina,מְכוֹנָה
magazine,revue,Zeitschrift,revista,雑誌,rivista,מגזין
main,principal,hauptsächlich,principal,主要,principale,רָאשִׁי
maintain,maintenir,pflegen,mantener,維持する,mantenere,לְתַחְזֵק
major,majeur,wesentlich,importante,選考科目,maggiore,גדול
majority,majorité,mehrheitlich,mayoría,過半数,maggioranza,רוֹב
make,faire,machen,hacer,作る,Fare,עשה
man,homme,Mann,hombre,男,Uomo,איש
manage,gérer,verwalten,administrar,管理,maneggio,לנהל
management,gestion,Management,gestión,管理,gestione,הַנהָלָה
manager,directeur,Manager,gerente,マネージャー,manager,מנהל
many,beaucoup,viele,muchos,多くの,molti,רב
market,marché,Markt,mercado,市場,mercato,שׁוּק
marriage,mariage,Hochzeit,casamiento,結婚,matrimonio,נישואים
material,matériel,Material,material,材料,Materiale,חוֹמֶר
matter,matière,Gegenstand,asunto,案件,questione,חוֹמֶר
may,peut,Mai,puede,5月,Maggio,מאי
maybe,peut être,Vielleicht,tal vez,多分,Forse,אולי
me,moi,Mich,a mí,自分,Me,לִי
mean,signifier,bedeuten,significar,平均,Significare,מתכוון
measure,mesure,messen,medida,測定,misurare,מידה
media,médias,Medien,medios de comunicación,メディア,media,כְּלֵי תִקְשׁוֹרֶת
medical,médical,medizinisch,médico,医学,medico,רְפוּאִי
meet,rencontrer,treffen,encontrarse,会う,Incontrare,לִפְגוֹשׁ
meeting,réunion,treffen,reunión,ミーティング,incontro,פְּגִישָׁה
member,membre,Mitglied,miembro,メンバー,membro,חבר
memory,mémoire,Erinnerung,memoria,メモリ,memoria,זיכרון
mention,mention,erwähnen,mencionar,言及,citare,אִזְכּוּר
message,message,Nachricht,mensaje,メッセージ,Messaggio,הוֹדָעָה
method,méthode,Methode,método,方法,metodo,שיטה
middle,milieu,Mitte,medio,真ん中,mezzo,אֶמצַע
might,pourrait,könnte,podría,かもしれない,Potrebbe,אולי
military,militaire,Militär,militar,軍隊,militare,צבאי
million,million,Million,millón,百万,milione,מִילִיוֹן
mind,esprit,Geist,mente,心,mente,אכפת
minute,minute,Minute,minuto,分,minuto,דַקָה
miss,manquer,vermissen,extrañar,逃す,mancare,עלמה
mission,mission,Mission,misión,ミッション,missione,משימה
model,modèle,Modell,modelo,モデル,modello,דֶגֶם
modern,moderne,modern,moderno,モダンな,moderno,מוֹדֶרנִי
moment,moment,Moment,momento,一瞬,momento,רֶגַע
money,argent,Geld,dinero,お金,soldi,כֶּסֶף
month,mois,Monat,mes,月,mese,חוֹדֶשׁ
more,plus,mehr,más,もっと,Di più,יותר
morning,matin,Morgen,mañana,朝,Mattina,בוקר
most,la plupart,am meisten,mayoría,ほとんど,maggior parte,רוב
mother,mère,Mutter,madre,母親,madre,אִמָא
mouth,bouche,Mund,boca,口,bocca,פֶּה
move,se déplacer,bewegen,mover,動く,mossa,מהלך \ לזוז \ לעבור
movement,mouvement,Bewegung,movimiento,動き,movimento,תְנוּעָה
movie,film,Film,película,映画,film,סרט
Mr,M,Herr,Señor,氏,Sig,אדון
Mrs,Mme,Frau,Señora,夫人,Sig.ra,גברת
much,beaucoup,viel,mucho,多くの,tanto,הַרבֵּה
music,musique,Musik,música,音楽,musica,מוּסִיקָה
must,doit,muss,debe,しなければならない,dovere,צריך
my,mon,Mein,mi,私の,Mio,שֶׁלִי
myself,moi-même,ich selbst,mí mismo,自分自身,me stessa,עצמי
name,nom,Name,nombre,名前,nome,שֵׁם
nation,nation,Nation,nación,国家,nazione,אוּמָה
national,national,National,nacional,全国,nazionale,לאומי
natural,naturel,natürlich,natural,自然,naturale,טִבעִי
nature,nature,Natur,naturaleza,自然,natura,טֶבַע
near,près,nahe,cerca,近く,vicino,ליד
nearly,presque,fast,cerca de,ほぼ,quasi,כמעט
necessary,nécessaire,notwendig,necesario,必要,necessario,נחוץ
need,besoin,brauchen,necesidad,必要,Bisogno,צוֹרֶך
network,réseau,Netzwerk,red,通信網,rete,רֶשֶׁת
never,jamais,niemals,nunca,一度もない,Mai,לעולם לא
new,nouveau,neu,nuevo,新しい,nuovo,חָדָשׁ
news,nouvelles,Nachricht,noticias,ニュース,notizia,חֲדָשׁוֹת
newspaper,journal,Zeitung,periódico,新聞,giornale,עיתון
next,suivant,nächste,próximo,次,Prossimo,הַבָּא
nice,bon,Hübsch,lindo,ニース,Carino,נֶחְמָד
night,nuit,Nacht,noche,夜,notte,לַיְלָה
no,Non,NEIN,No,いいえ,NO,לא
none,aucun,keiner,ninguno,なし,nessuno,אף אחד
nor,ni,noch,ni,または,né,ולא
north,nord,Norden,norte,北,nord,צָפוֹן
not,pas,nicht,no,ない,non,לֹא
note,note,Notiz,nota,注記,Nota,הערה
nothing,rien,Nichts,nada,何もない,Niente,שום דבר
notice,avis,beachten,aviso,知らせ,avviso,הודעה
now,maintenant,Jetzt,ahora,今,Ora,עַכשָׁיו
n't,NT,n't,Nuevo Testamento,いいえ,non,לא
number,nombre,Nummer,número,番号,numero,מספר
occur,se produire,geschehen,ocurrir,起こる,verificarsi,מתרחש
of,de,von,de,の,Di,שֶׁל
off,désactivé,aus,apagado,オフ,spento,כבוי
offer,offre,Angebot,oferta,オファー,offerta,הַצָעָה
office,bureau,Büro,oficina,オフィス,ufficio,מִשׂרָד
officer,officier,Offizier,oficial,役員,ufficiale,קָצִין
official,officiel,offiziell,oficial,正式,ufficiale,רשמי
often,souvent,oft,a menudo,頻繁,Spesso,לעתים קרובות
oh,Oh,Oh,Vaya,おお,OH,אה
oil,huile,Öl,aceite,油,olio,שמן
ok,d'accord,OK,OK,わかりました,OK,בסדר
old,vieux,alt,viejo,古い,vecchio,ישן
on,sur,An,en,の上,SU,עַל
once,une fois,einmal,una vez,一度,una volta,פַּעַם
one,un,eins,uno,1つ,uno,אחד
only,seulement,nur,solo,のみ,soltanto,רק
onto,sur,auf zu,sobre,に,su,עַל גַבֵּי
open,ouvrir,offen,abierto,開ける,aprire,לִפְתוֹחַ
operation,opération,Betrieb,operación,手術,operazione,מבצע
opportunity,opportunité,Gelegenheit,oportunidad,機会,opportunità,הִזדַמְנוּת
option,option,Möglichkeit,opción,オプション,opzione,אוֹפְּצִיָה
or,ou,oder,o,または,O,אוֹ
order,commande,Befehl,orden,注文,ordine,להזמין
organization,organisation,Organisation,organización,組織,organizzazione,אִרגוּן
other,autre,andere,otro,他の,altro,אַחֵר
others,autres,Andere,otros,その他,altri,אחרים
our,notre,unser,nuestro,私たちの,Nostro,שֶׁלָנוּ
out,dehors,aus,afuera,外,fuori,הַחוּצָה
outside,dehors,draußen,afuera,外,al di fuori,בחוץ
over,sur,über,encima,以上,Sopra,על
own,propre,eigen,propio,自分の,Proprio,שֶׁלוֹ
owner,propriétaire,Eigentümer,dueño,所有者,proprietario,בעלים
page,page,Seite,página,ページ,pagina,עמוד
pain,douleur,Schmerz,dolor,痛み,Dolore,כְּאֵב
painting,peinture,Malerei,cuadro,絵画,pittura,צִיוּר
paper,papier,Papier,papel,紙,carta,עיתון
parent,parent,Elternteil,padre,親,genitore,הוֹרֶה
part,partie,Teil,parte,一部,parte,חֵלֶק
participant,participant,Teilnehmer,partícipe,参加者,partecipante,מִשׁתַתֵף
particular,particulier,besondere,particular,特定の,particolare,מיוחד
particularly,particulièrement,insbesondere,particularmente,特に,in particolar modo,בִּמְיוּחָד
partner,partenaire,Partner,pareja,相棒,compagno,בת זוג
party,faire la fête,Party,fiesta,パーティー,festa,מפלגה
pass,passer,passieren,aprobar,合格,passaggio,לַעֲבוֹר
past,passé,Vergangenheit,pasado,過去,passato,עבר
patient,patient,geduldig,paciente,忍耐強い,paziente,סבלני
pattern,modèle,Muster,patrón,パターン,modello,תבנית
pay,payer,zahlen,pagar,支払う,paga,לְשַׁלֵם
peace,paix,Frieden,paz,平和,pace,שָׁלוֹם
people,personnes,Menschen,gente,人々,persone,אֲנָשִׁים
per,par,pro,por,あたり,per,לְכָל
perform,effectuer,ausführen,llevar a cabo,実行する,eseguire,לְבַצֵעַ
performance,performance,Leistung,actuación,パフォーマンス,prestazione,ביצועים
perhaps,peut-être,vielleicht,tal vez,多分,Forse,אוּלַי
period,période,Zeitraum,período,期間,periodo,פרק זמן
person,personne,Person,persona,人,persona,אדם
personal,personnel,persönlich,personal,個人的,personale,אישי
phone,téléphone,Telefon,teléfono,電話,telefono,טלפון
physical,physique,physisch,físico,物理的な,fisico,גוּפָנִי
pick,prendre,wählen,elegir,選ぶ,scegliere,לִבחוֹר
picture,image,Bild,imagen,写真,immagine,תְמוּנָה
piece,morceau,Stück,pedazo,ピース,pezzo,לְחַבֵּר
place,lieu,Ort,lugar,場所,posto,מקום
plan,plan,planen,plan,プラン,piano,לְתַכְנֵן
plant,usine,Anlage,planta,植物,pianta,צמח
play,jouer,spielen,jugar,遊ぶ,giocare,לְשַׂחֵק
player,joueur,Spieler,jugador,プレーヤー,giocatore,שחקן
PM,PM,PM,PM,PM,PM,אחר הצהריים
point,indiquer,Punkt,punto,ポイント,punto,נְקוּדָה
police,police,Polizei,policía,警察,Polizia Stradale,מִשׁטָרָה
policy,politique,Politik,política,ポリシー,politica,מְדִינִיוּת
political,politique,politisch,político,政治的,politico,פּוֹלִיטִי
politics,politique,Politik,política,政治,politica,פּוֹלִיטִיקָה
poor,pauvre,arm,pobre,貧しい,povero,עני
popular,populaire,beliebt,popular,人気のある,popolare,פופולרי
population,population,Bevölkerung,población,人口,popolazione,אוּכְלוֹסִיָה
position,position,Position,posición,位置,posizione,עמדה
positive,positif,positiv,positivo,ポジティブ,positivo,חִיוּבִי
possible,possible,möglich,posible,可能,possibile,אפשרי
power,pouvoir,Leistung,fuerza,力,energia,כּוֹחַ
practice,pratique,üben,práctica,練習する,pratica,תרגול
prepare,préparer,vorbereiten,preparar,準備する,preparare,הכן
present,présent,gegenwärtig,presente,現在,presente,מתנה
president,président,Präsident,presidente,社長,Presidente,נָשִׂיא
pressure,pression,Druck,presión,プレッシャー,pressione,לַחַץ
pretty,joli,hübsch,bonito,かわいい,bello,יפה
prevent,prévenir,verhindern,prevenir,防ぐ,impedire,לִמְנוֹעַ
price,prix,Preis,precio,価格,prezzo,מחיר
private,privé,Privat,privado,プライベート,privato,פְּרָטִי
probably,probablement,wahrscheinlich,probablemente,おそらく,probabilmente,כנראה
problem,problème,Problem,problema,問題,problema,בְּעָיָה
process,processus,Verfahren,proceso,プロセス,processi,תהליך
produce,produire,produzieren,producir,生産する,produrre,ליצר
product,produit,Produkt,producto,製品,Prodotto,מוצר
production,production,Produktion,producción,生産,produzione,הפקה
professional,professionnel,Fachmann,profesional,プロ,professionale,מקצועי
professor,professeur,Professor,profesor,教授,Professore,פּרוֹפֶסוֹר
program,programme,Programm,programa,プログラム,programma,תכנית
project,projet,Projekt,proyecto,プロジェクト,progetto,פּרוֹיֶקט
property,propriété,Eigentum,propiedad,財産,proprietà,תכונה
protect,protéger,schützen,proteger,守る,proteggere,לְהַגֵן
prove,prouver,beweisen,probar,証明する,dimostrare,לְהוֹכִיחַ
provide,fournir,bieten,proporcionar,提供する,fornire,לְסַפֵּק
public,publique,öffentlich,público,公共,pubblico,פּוּמְבֵּי
pull,tirer,ziehen,jalar,引く,tiro,מְשׁוֹך
purpose,but,Zweck,objetivo,目的,scopo,מַטָרָה
push,pousser,drücken,empujar,押す,spingere,לִדחוֹף
put,mettre,setzen,poner,置く,Mettere,לָשִׂים
quality,qualité,Qualität,calidad,品質,qualità,איכות
question,question,Frage,pregunta,質問,domanda,שְׁאֵלָה
quickly,rapidement,schnell,rápidamente,素早く,velocemente,בִּמְהִירוּת
quite,assez,ganz,bastante,とても,abbastanza,דַי
race,course,Wettrennen,carrera,人種,gara,גזע
radio,radio,Radio,radio,無線,Radio,רָדִיוֹ
raise,augmenter,erheben,aumentar,上げる,aumentare,הַעֲלָאָה
range,gamme,Reichweite,rango,範囲,allineare,טווח
rate,taux,Rate,tasa,レート,valutare,ציון
rather,plutôt,eher,bastante,それよりも,Piuttosto,אלא
reach,atteindre,erreichen,alcanzar,到着,portata,לְהַגִיעַ
read,lire,lesen,leer,読む,Leggere,לקרוא
ready,prêt,bereit,listo,準備ができて,pronto,מוּכָן
real,réel,real,real,本物,vero,אמיתי
reality,réalité,Wirklichkeit,realidad,現実,la realtà,מְצִיאוּת
realize,réaliser,realisieren,darse cuenta,気づく,rendersi conto,לִהַבִין
really,vraiment,Wirklich,en realidad,本当に,Veramente,בֶּאֱמֶת
reason,raison,Grund,razón,理由,motivo,סיבה
receive,recevoir,erhalten,recibir,受け取る,ricevere,לְקַבֵּל
recent,récent,jüngste,reciente,最近の,recente,לאחרונה
recently,récemment,kürzlich,recientemente,最近,recentemente,לאחרונה
recognize,reconnaître,erkenne,reconocer,認識する,riconoscere,לזהות
record,enregistrer,aufzeichnen,registro,記録,documentazione,תקליט
red,rouge,Rot,rojo,赤,rosso,אָדוֹם
reduce,réduire,reduzieren,reducir,減らす,ridurre,לְהַפחִית
reflect,refléter,reflektieren,reflejar,反映する,riflettere,משקף
region,région,Region,región,地域,regione,אזור
relate,se rapporter,betreffen,relatar,関係する,relazionare,לְסַפֵּר
relationship,relation,Beziehung,relación,関係,relazione,מערכת יחסים
religious,religieux,religiös,religioso,宗教的,religioso,דָתִי
remain,rester,bleiben,permanecer,残る,rimanere,לְהִשָׁאֵר
remember,souviens-toi,erinnern,recordar,覚えて,Ricordare,זכור
remove,retirer,entfernen,eliminar,取り除く,rimuovere,לְהַסִיר
report,rapport,Bericht,informe,報告,rapporto,להגיש תלונה
represent,représenter,vertreten,representar,代表する,rappresentare,לְיַצֵג
Republican,Républicain,Republikaner,Republicano,共和党,Repubblicano,רֶפּוּבּלִיקָנִי
require,exiger,erfordern,requerir,必要とする,richiedere,לִדרוֹשׁ
research,recherche,Forschung,investigación,研究,ricerca,מחקר
resource,Ressource,Ressource,recurso,リソース,risorsa,מַשׁאָב
respond,répondre,antworten,responder,応答する,rispondere,לְהָגִיב
response,réponse,Antwort,respuesta,応答,risposta,תְגוּבָה
responsibility,responsabilité,Verantwortung,responsabilidad,責任,responsabilità,אַחֲרָיוּת
rest,repos,ausruhen,descansar,休む,riposo,מנוחה
result,résultat,Ergebnis,resultado,結果,risultato,תוֹצָאָה
return,retour,zurückkehren,devolver,戻る,ritorno,לַחֲזוֹר
reveal,révéler,aufdecken,revelar,明らかにする,svelare,לְגַלוֹת
rich,riche,reich,rico,リッチ,ricco,עָשִׁיר
right,droite,Rechts,bien,右,Giusto,ימין
rise,augmenter,erheben,elevar,上昇,salita,לעלות
risk,risque,Risiko,riesgo,危険,rischio,לְהִסְתָכֵּן
road,route,Straße,camino,道,strada,כְּבִישׁ
rock,rocher,Felsen,roca,ロック,roccia,סלע
role,rôle,Rolle,role,役割,ruolo,תַפְקִיד
room,chambre,Zimmer,habitación,部屋,camera,חֶדֶר
rule,règle,Regel,regla,ルール,regola,כְּלָל
run,courir,laufen,correr,走る,correre,לָרוּץ
safe,sûr,sicher,seguro,安全,sicuro,בטוח
same,même,Dasselbe,mismo,同じ,Stesso,אותו
save,sauvegarder,speichern,ahorrar,保存,salva,להציל
say,dire,sagen,decir,言う,Dire,אמר
scene,scène,Szene,escena,シーン,scena,סְצֵינָה
school,école,Schule,escuela,学校,scuola,בית ספר
science,science,Wissenschaft,ciencia,科学,scienza,מַדָע
scientist,scientifique,Wissenschaftler,científico,科学者,scienziato,מַדְעָן
score,score,Punktzahl,puntaje,スコア,punto,ציון
sea,mer,Meer,mar,海,mare,יָם
season,saison,Jahreszeit,estación,季節,stagione,עונה
seat,siège,Sitz,asiento,シート,posto a sedere,מושב
second,deuxième,zweite,segundo,2番,secondo,שְׁנִיָה
section,section,Abschnitt,sección,セクション,sezione,סָעִיף
security,sécurité,Sicherheit,seguridad,安全,sicurezza,בִּטָחוֹן
see,voir,sehen,ver,見る,Vedere,לִרְאוֹת
seek,chercher,suchen,buscar,求める,cercare,לְחַפֵּשׂ
seem,sembler,erscheinen,parecer,思われる,sembrare,נראה
sell,vendre,verkaufen,vender,売る,vendere,מכירה
send,envoyer,schicken,enviar,送信,Inviare,לִשְׁלוֹחַ
senior,senior,Senior,sénior,シニア,anziano,בָּכִיר
sense,sens,Sinn,sentido,センス,senso,לָחוּשׁ
series,série,Serie,serie,シリーズ,serie,סִדרָה
serious,sérieux,ernst,grave,深刻な,serio,רְצִינִי
serve,servir,Aufschlag,atender,仕える,servire,לְשָׁרֵת
service,service,Service,servicio,サービス,servizio,שֵׁרוּת
set,ensemble,Satz,colocar,セット,impostato,מַעֲרֶכֶת
seven,Sept,Sieben,Siete,セブン,Sette,שבע
several,plusieurs,mehrere,varios,いくつかの,parecchi,כַּמָה
sex,sexe,Sex,sexo,セックス,sesso,מִין
sexual,sexuel,sexuell,sexual,性的,sessuale,מִינִי
shake,secouer,Shake,agitar,振る,scuotere,לְנַעֵר
share,partager,Aktie,compartir,共有,condividere,לַחֲלוֹק
she,elle,sie,ella,彼女,Lei,היא
shoot,tirer,schießen,disparar,シュート,sparare,לירות
short,court,kurz,corto,短い,corto,קצר
shot,tir,Schuss,disparo,ショット,sparo,בְּעִיטָה
should,devrait,sollen,debería,すべき,Dovrebbe,צריך
shoulder,épaule,Schulter,hombro,ショルダー,spalla,כָּתֵף
show,montrer,zeigen,espectáculo,見せる,spettacolo,הופעה
side,côté,Seite,lado,側,lato,צַד
sign,signe,Zeichen,firmar,サイン,cartello,סִימָן
significant,significatif,bedeutsam,significativo,重要な,significativo,משמעותי
similar,similaire,ähnlich,similar,似ている,simile,דוֹמֶה
simple,simple,einfach,simple,単純,semplice,פָּשׁוּט
simply,simplement,einfach,simplemente,単に,semplicemente,בפשטות
since,depuis,seit,desde,以来,Da,מאז
sing,chanter,singen,cantar,歌う,cantare,לָשִׁיר
single,célibataire,einzel,soltero,シングル,separare,יחיד
sister,sœur,Schwester,hermana,妹,sorella,אָחוֹת
sit,s'asseoir,sitzen,sentarse,座る,sedersi,לָשֶׁבֶת
site,site,Website,sitio,サイト,luogo,אֲתַר
situation,situation,Situation,situación,状況,situazione,מַצָב
six,six,sechs,seis,六,sei,שֵׁשׁ
size,taille,Größe,tamaño,サイズ,misurare,גודל
skill,compétence,Fähigkeit,habilidad,スキル,abilità,מְיוּמָנוּת
skin,peau,Haut,piel,肌,pelle,עור
small,petit,klein,pequeño,小さい,piccolo,קָטָן
smile,sourire,lächeln,sonrisa,笑顔,sorriso,חיוך
so,donc,Also,entonces,それで,COSÌ,כך
social,sociale,Sozial,social,社交,sociale,חֶברָתִי
society,société,Gesellschaft,sociedad,社会,società,חֶברָה
soldier,soldat,Soldat,soldado,兵士,soldato,לוֹחֶם
some,quelques,manche,alguno,いくつかの,Alcuni,כמה
somebody,quelqu'un,jemand,alguien,誰か,qualcuno,מִישֶׁהוּ
someone,quelqu'un,jemand,alguien,誰か,qualcuno,מִישֶׁהוּ
something,quelque chose,etwas,algo,何か,qualcosa,משהו
sometimes,parfois,Manchmal,a veces,時々,A volte,לִפְעָמִים
son,fils,Sohn,hijo,息子,figlio,בֵּן
song,chanson,Lied,canción,歌,canzone,שִׁיר
soon,bientôt,bald,pronto,すぐ,Presto,בקרוב
sort,trier,Sortieren,clasificar,選別,ordinare,סוג
sound,son,Klang,sonido,音,suono,נשמע
source,source,Quelle,fuente,ソース,fonte,מָקוֹר
south,sud,Süd,sur,南,Sud,דָרוֹם
southern,du sud,Süd-,del Sur,南方の,meridionale,דְרוֹמִי
space,espace,Raum,espacio,空間,spazio,מֶרחָב
speak,parler,sprechen,hablar,話す,parlare,לְדַבֵּר
special,spécial,besonders,especial,特別,speciale,מיוחד
specific,spécifique,Spezifisch,específico,特定の,specifica,ספֵּצִיפִי
speech,discours,Rede,discurso,スピーチ,discorso,נְאוּם
spend,dépenser,ausgeben,gastar,過ごす,trascorrere,לְבַלוֹת
sport,sport,Sport,deporte,スポーツ,sport,ספּוֹרט
spring,printemps,Frühling,primavera,春,primavera,אביב
staff,personnel,Personal,personal,スタッフ,personale,צוות
stage,scène,Bühne,escenario,ステージ,palcoscenico,שלב
stand,rester,Stand,pararse,立つ,in piedi,לַעֲמוֹד
standard,standard,Standard,estándar,標準,standard,תֶקֶן
star,étoile,Stern,estrella,星,stella,כוכב
start,commencer,Start,comenzar,始める,inizio,הַתחָלָה
state,État,Zustand,estado,州,stato,מדינה
statement,déclaration,Stellungnahme,declaración,声明,dichiarazione,הַצהָרָה
station,gare,Bahnhof,estación,駅,stazione,תַחֲנָה
stay,rester,bleiben,permanecer,滞在する,rimanere,שָׁהוּת
step,étape,Schritt,paso,ステップ,fare un passo,שלב
still,toujours,Trotzdem,aún,まだ,Ancora,עוֹד
stock,action,Aktie,existencias,ストック,azione,המניה
stop,arrêt,stoppen,detener,停止,fermare,תפסיק
store,magasin,speichern,almacenar,店,negozio,חנות
story,histoire,Geschichte,historia,話,storia,כַּתָבָה
strategy,stratégie,Strategie,estrategia,戦略,strategia,אִסטרָטֶגִיָה
street,rue,Straße,calle,通り,strada,רְחוֹב
strong,fort,stark,fuerte,強い,forte,חָזָק
structure,structure,Struktur,estructura,構造,struttura,מִבְנֶה
student,étudiant,Student,alumno,学生,alunno,סטוּדֶנט
study,étude,Studie,estudiar,勉強,studio,לימוד
stuff,truc,Sachen,cosa,もの,cose,דברים
style,style,Stil,estilo,スタイル,stile,סִגְנוֹן
subject,sujet,Thema,sujeto,主題,soggetto,נושא
success,succès,Erfolg,éxito,成功,successo,הַצלָחָה
successful,réussi,erfolgreich,exitoso,成功,riuscito,מוּצלָח
such,tel,solch,semejante,そのような,come,כגון
suddenly,soudainement,plötzlich,de repente,突然,All'improvviso,פִּתְאוֹם
suffer,souffrir,leiden,sufrir,苦しむ,soffrire,סובל
suggest,suggérer,vorschlagen,sugerir,提案する,suggerire,לְהַצִיעַ
summer,été,Sommer,verano,夏,estate,קַיִץ
support,soutien,Unterstützung,apoyo,サポート,supporto,תמיכה
sure,bien sûr,Sicher,seguro,もちろん,Sicuro,בטוח
surface,surface,Oberfläche,superficie,表面,superficie,משטח
system,système,System,sistema,システム,sistema,מערכת
table,tableau,Tisch,mesa,テーブル,tavolo,שולחן
take,prendre,nehmen,llevar,取る,Prendere,לקחת
talk,parler,sprechen,hablar,話す,parlare,דבר
task,tâche,Aufgabe,tarea,タスク,compito,מְשִׁימָה
tax,impôt,Steuer,impuesto,税,imposta,מַס
teach,enseigner,unterrichten,enseñar,教える,insegnare,לְלַמֵד
teacher,professeur,Lehrer,maestro,教師,insegnante,מוֹרֶה
team,équipe,Team,equipo,チーム,squadra,קְבוּצָה
technology,technologie,Technologie,tecnología,テクノロジー,tecnologia,טֶכנוֹלוֹגִיָה
television,télévision,Fernsehen,televisión,テレビ,televisione,טֵלֶוִיזִיָה
tell,dire,erzählen,decir,教えて,raccontare,לאמר
ten,dix,zehn,diez,十,dieci,עשר
tend,tendre,neigen,tender,傾向がある,tendente,נוטה
term,terme,Begriff,término,学期,termine,טווח
test,test,prüfen,prueba,テスト,test,מִבְחָן
than,que,als,que,よりも,di,מאשר
thank,remercier,Dank,agradecer,感謝,Grazie,להודות
that,que,Das,eso,それ,Quello,זֶה
the,le,Die,el,,IL,ה
their,leur,ihre,su,彼らの,loro,שֶׁלָהֶם
them,eux,ihnen,a ellos,彼ら,loro,אוֹתָם
themselves,eux-mêmes,sich,ellos mismos,彼ら自身,loro stessi,עצמם
then,alors,Dann,entonces,それから,Poi,לאחר מכן
theory,théorie,Theorie,teoría,理論,teoria,תֵאוֹרִיָה
there,là,Dort,allá,そこには,Là,שם
these,ces,diese,estos,これら,questi,אלה
they,ils,Sie,ellos,彼らは,Essi,הֵם
thing,chose,Ding,cosa,もの,cosa,דָבָר
think,pense,denken,pensar,考える,pensare,לַחשׁוֹב
third,troisième,dritte,tercero,三番目,terzo,שְׁלִישִׁי
this,ce,Das,este,これ,Questo,זֶה
those,ceux,diese,aquellos,それらの,quelli,הָהֵן
though,cependant,obwohl,aunque,けれど,Anche se,עם זאת
thought,pensée,Gedanke,pensamiento,考え,Pensiero,מַחֲשָׁבָה
thousand,mille,tausend,mil,千,mille,אלף
threat,menace,Gefahr,amenaza,脅威,minaccia,אִיוּם
three,trois,drei,tres,三つ,tre,שְׁלוֹשָׁה
through,à travers,durch,a través de,を通して,Attraverso,דרך
throughout,tout au long de,hindurch,a lo largo de,全体を通して,per tutto,בְּמֶשֶך
throw,lancer,werfen,tirar,投げる,gettare,לזרוק
thus,ainsi,daher,de este modo,したがって,così,לכן
time,temps,Zeit,tiempo,時間,tempo,זְמַן
to,à,Zu,a,に,A,ל
today,aujourd'hui,Heute,hoy,今日,Oggi,היום
together,ensemble,zusammen,juntos,一緒に,insieme,יַחַד
tonight,ce soir,heute Abend,esta noche,今夜,stasera,היום בלילה
too,aussi,zu,también,あまりにも,pure,גַם
top,haut,Spitze,arriba,上,superiore,חלק עליון
total,total,gesamt,total,合計,totale,"סה""כ"
tough,difficile,hart,difícil,厳しい,difficile,קָשֶׁה
toward,vers,zu,hacia,向かって,verso,לקראת
town,ville,Stadt,ciudad,町,città,העיר
trade,commerce,Handel,comercio,貿易,commercio,סַחַר
traditional,traditionnel,traditionell,tradicional,伝統的,tradizionale,מָסוֹרתִי
training,entraînement,Ausbildung,capacitación,トレーニング,formazione,הַדְרָכָה
travel,voyage,reisen,viajar,旅行,viaggio,לִנְסוֹעַ
treat,traiter,behandeln,tratar,扱う,trattare,טיפול
treatment,traitement,Behandlung,tratamiento,処理,trattamento,יַחַס
tree,arbre,Baum,árbol,木,albero,עֵץ
trial,procès,Versuch,ensayo,トライアル,prova,ניסוי
trip,voyage,Reise,viaje,旅行,viaggio,טיול
trouble,inquiéter,Problem,problema,トラブル,guaio,צרה
TRUE,VRAI,WAHR,VERDADERO,真実,VERO,נָכוֹן
truth,vérité,Wahrheit,verdad,真実,verità,אֶמֶת
try,essayer,versuchen,intentar,試す,Tentativo,לְנַסוֹת
turn,tourner,drehen,doblar,振り向く,giro,לפנות
TV,la télé,Fernseher,TELEVISOR,テレビ,tv,טֵלֶוִיזִיָה
two,deux,zwei,dos,二,due,שתיים
type,taper,Typ,tipo,タイプ,tipo,סוּג
under,sous,unter,bajo,下,Sotto,תַחַת
understand,comprendre,verstehen,entender,理解する,capire,מבין
unit,unité,Einheit,unidad,ユニット,unità,יחידה
until,jusqu'à,bis,hasta,それまで,Fino a,עד
up,en haut,hoch,arriba,上,su,לְמַעלָה
upon,sur,auf,al,その上,su,עַל
us,nous,uns,a nosotros,私たち,noi,לָנוּ
use,utiliser,verwenden,usar,使用,utilizzo,להשתמש
usually,généralement,normalerweise,generalmente,いつもの,Generalmente,בְּדֶרֶך כְּלַל
value,valeur,Wert,valor,価値,valore,ערך
various,divers,verschieden,varios,様々な,vari,שׁוֹנִים
very,très,sehr,muy,とても,molto,מאוד
